Date,GHI,Clearsky GHI,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed,Wind Direction,Dew Point,Precipitable Water,Clearness Index,Season
01-01-2000 08:00,118,134,14,990,18.48,79.26,0.5,22.7,-9,0.515,0.880597015,Cold Season
01-01-2000 09:00,262,311,18,990,8.87,69.54,0.4,351.4,-15,0.514,0.84244373,Cold Season
01-01-2000 10:00,375,460,22,990,6.73,61.63,0.8,300.1,-15,0.514,0.815217391,Cold Season
01-01-2000 11:00,524,557,25,990,5.81,56.33,1.4,293.9,-15,0.515,0.940754039,Cold Season
01-01-2000 12:00,584,592,26,990,5.58,54.4,1.6,292.8,-15,0.516,0.986486486,Cold Season
01-01-2000 13:00,552,559,26,990,5.64,56.2,1.7,295.3,-15,0.519,0.987477639,Cold Season
01-01-2000 14:00,458,464,25,990,5.99,61.4,1.6,303,-14,0.523,0.987068966,Cold Season
01-01-2000 15:00,314,316,23,990,6.83,69.23,1.6,310,-14,0.528,0.993670886,Cold Season
01-01-2000 16:00,131,140,19,990,9.21,78.9,1.6,310.9,-14,0.533,0.935714286,Cold Season
02-01-2000 08:00,106,133,15,990,17.63,79.29,0.9,17.1,-9,0.558,0.796992481,Cold Season
02-01-2000 09:00,217,309,18,990,10.98,69.55,0.7,10.3,-12,0.562,0.702265372,Cold Season
02-01-2000 10:00,300,458,23,990,8.18,61.62,0.8,318.6,-12,0.567,0.655021834,Cold Season
02-01-2000 11:00,352,556,25,990,7.03,56.28,1.2,297,-13,0.571,0.633093525,Cold Season
02-01-2000 12:00,497,591,26,990,6.79,54.32,1.4,286.9,-12,0.573,0.840947547,Cold Season
02-01-2000 13:00,554,559,26,990,6.9,56.09,1.5,281.8,-12,0.574,0.991055456,Cold Season
02-01-2000 14:00,460,464,25,990,7.32,61.27,1.5,280.4,-12,0.576,0.99137931,Cold Season
02-01-2000 15:00,316,317,23,990,8.22,69.09,1.5,279.5,-12,0.578,0.996845426,Cold Season
02-01-2000 16:00,134,142,19,990,10.88,78.76,1.4,278.8,-12,0.579,0.943661972,Cold Season
03-01-2000 08:00,106,132,14,990,18.4,79.31,1.4,316.5,-9,0.565,0.803030303,Cold Season
03-01-2000 09:00,210,309,18,990,13.17,69.55,1.1,308.4,-11,0.562,0.67961165,Cold Season
03-01-2000 10:00,287,459,22,990,10.31,61.59,1.5,293.1,-10,0.559,0.625272331,Cold Season
03-01-2000 11:00,333,557,24,990,9.01,56.22,1.9,288.9,-10,0.557,0.597845601,Cold Season
03-01-2000 12:00,523,593,25,990,8.5,54.23,2,285.9,-10,0.556,0.881956155,Cold Season
03-01-2000 13:00,556,562,25,990,8.42,55.98,2,286.9,-10,0.554,0.989323843,Cold Season
03-01-2000 14:00,463,468,25,990,8.77,61.14,2.1,293,-10,0.551,0.989316239,Cold Season
03-01-2000 15:00,319,321,23,990,9.69,68.96,2.1,300.2,-10,0.55,0.99376947,Cold Season
03-01-2000 16:00,138,144,19,990,12.62,78.62,2.1,301.1,-10,0.55,0.958333333,Cold Season
04-01-2000 08:00,89,132,14,990,23.3,79.33,0.7,353.7,-6,0.559,0.674242424,Cold Season
04-01-2000 09:00,174,309,17,990,14.84,69.55,0.4,354.7,-9,0.564,0.563106796,Cold Season
04-01-2000 10:00,227,459,22,990,10.96,61.56,0.7,296.3,-10,0.566,0.494553377,Cold Season
04-01-2000 11:00,259,558,24,990,8.69,56.16,1.2,283.1,-11,0.566,0.464157706,Cold Season
04-01-2000 12:00,282,594,25,990,8.03,54.14,1.4,277,-11,0.561,0.474747475,Cold Season
04-01-2000 13:00,242,564,25,990,7.79,55.86,1.4,276.7,-11,0.551,0.429078014,Cold Season
04-01-2000 14:00,198,471,25,990,8.05,61.01,1.3,277,-11,0.538,0.420382166,Cold Season
04-01-2000 15:00,142,324,23,990,8.92,68.81,1.2,278,-11,0.534,0.438271605,Cold Season
04-01-2000 16:00,60,147,18,990,11.67,78.48,1.1,277.2,-11,0.533,0.408163265,Cold Season
04-01-2000 17:00,1,4,16,990,13.53,89.38,1.1,278.3,-11,0.538,0.25,Cold Season
05-01-2000 08:00,83,132,14,990,25.8,79.34,0.5,355.7,-5,0.575,0.628787879,Cold Season
05-01-2000 09:00,152,309,18,990,16.3,69.54,0.4,303.4,-8,0.576,0.491909385,Cold Season
05-01-2000 10:00,194,460,22,990,10.86,61.52,0.9,285.1,-9,0.576,0.42173913,Cold Season
05-01-2000 11:00,215,559,25,990,8.09,56.09,1.2,278.2,-11,0.575,0.384615385,Cold Season
05-01-2000 12:00,242,596,26,990,7.28,54.03,1.4,269.1,-12,0.569,0.406040268,Cold Season
05-01-2000 13:00,215,566,26,990,6.95,55.73,1.5,265.4,-12,0.559,0.379858657,Cold Season
05-01-2000 14:00,452,473,25,990,7.21,60.87,1.6,268.9,-12,0.548,0.955602537,Cold Season
05-01-2000 15:00,324,326,23,990,8.14,68.67,1.6,275.8,-12,0.543,0.993865031,Cold Season
05-01-2000 16:00,132,150,19,990,10.94,78.33,1.8,281.4,-12,0.54,0.88,Cold Season
05-01-2000 17:00,1,5,16,990,13.25,89.23,1.9,289.7,-11,0.539,0.2,Cold Season
06-01-2000 08:00,68,133,14,990,19.56,79.35,1.5,328,-8,0.478,0.511278195,Cold Season
06-01-2000 09:00,163,312,18,990,14.35,69.52,1.2,309.5,-9,0.488,0.522435897,Cold Season
