Date,GHI,Clearsky GHI,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed,Wind Direction,Dew Point,Precipitable Water,Clearness Index,Season
2000-07-01 06:00:00,66,85,33,970,45.12,78.55,3.1,151.8,19,4.552,0.776470588,South-West Monsoon Season
2000-07-01 07:00:00,243,264,35,970,40.14,66.3,3.2,156.3,19,4.626,0.920454545,South-West Monsoon Season
2000-07-01 08:00:00,401,453,37,970,38.46,53.7,2.7,158.5,20,4.658,0.885209713,South-West Monsoon Season
2000-07-01 09:00:00,603,625,38,970,35.07,40.93,2.0,160.7,20,4.667,0.9648,South-West Monsoon Season
2000-07-01 10:00:00,571,762,40,970,32.69,28.17,1.4,169.4,20,4.675,0.749343832,South-West Monsoon Season
2000-07-01 11:00:00,142,850,41,970,29.69,15.98,1.0,192.8,20,4.698,0.167058824,South-West Monsoon Season
2000-07-01 12:00:00,149,881,42,970,27.3,8.28,0.9,233.2,19,4.716,0.169125993,South-West Monsoon Season
2000-07-01 13:00:00,140,853,42,970,26.45,15.36,1.3,265.1,19,4.739,0.164126612,South-West Monsoon Season
2000-07-01 14:00:00,141,767,42,970,27.32,27.48,1.6,286.9,19,4.771,0.183833116,South-West Monsoon Season
2000-07-01 15:00:00,237,633,41,970,28.91,40.22,1.8,301.4,19,4.809,0.374407583,South-West Monsoon Season
2000-07-01 16:00:00,260,462,39,970,30.05,53.0,1.7,312.1,18,4.784,0.562770563,South-West Monsoon Season
2000-07-01 17:00:00,134,274,38,970,30.43,65.62,1.1,323.3,17,4.662,0.489051095,South-West Monsoon Season
2000-07-01 18:00:00,57,94,37,970,40.33,77.9,0.5,359.5,20,4.5,0.606382979,South-West Monsoon Season
2000-07-02 06:00:00,60,84,32,970,50.77,78.62,2.7,172.0,20,4.671,0.714285714,South-West Monsoon Season
2000-07-02 07:00:00,242,262,34,970,48.68,66.37,2.5,179.6,21,4.705,0.923664122,South-West Monsoon Season
2000-07-02 08:00:00,427,451,35,970,47.72,53.77,1.9,177.7,21,4.714,0.946784922,South-West Monsoon Season
2000-07-02 09:00:00,515,624,36,970,45.4,41.0,1.5,174.2,21,4.728,0.825320513,South-West Monsoon Season
2000-07-02 10:00:00,433,760,37,970,38.75,28.24,1.0,176.1,20,4.778,0.569736842,South-West Monsoon Season
2000-07-02 11:00:00,849,849,39,970,33.29,16.06,0.9,184.6,19,4.821,1.0,South-West Monsoon Season
2000-07-02 12:00:00,880,880,40,970,28.87,8.35,1.0,196.5,18,4.824,1.0,South-West Monsoon Season
2000-07-02 13:00:00,801,853,40,970,26.69,15.37,1.0,204.2,17,4.788,0.939038687,South-West Monsoon Season
2000-07-02 14:00:00,429,768,40,970,25.53,27.47,1.0,221.6,16,4.747,0.55859375,South-West Monsoon Season
2000-07-02 15:00:00,242,633,40,970,25.49,40.21,1.2,242.6,16,4.717,0.382306477,South-West Monsoon Season
2000-07-02 16:00:00,438,463,39,970,26.85,52.99,1.5,249.5,16,4.695,0.94600432,South-West Monsoon Season
2000-07-02 17:00:00,245,274,37,970,29.47,65.61,1.8,244.6,16,4.684,0.894160584,South-West Monsoon Season
2000-07-02 18:00:00,35,93,35,970,33.28,77.89,2.1,231.3,16,4.694,0.376344086,South-West Monsoon Season
2000-07-03 06:00:00,41,82,31,970,43.8,78.7,2.1,119.9,16,5.264,0.5,South-West Monsoon Season
2000-07-03 07:00:00,237,260,31,970,44.27,66.44,2.3,127.2,17,5.326,0.911538462,South-West Monsoon Season
2000-07-03 08:00:00,426,448,32,970,41.82,53.84,2.5,134.3,17,5.378,0.950892857,South-West Monsoon Season
2000-07-03 09:00:00,568,619,35,970,34.01,41.06,2.2,140.0,17,5.395,0.917609047,South-West Monsoon Season
2000-07-03 10:00:00,756,756,39,970,27.69,28.31,1.5,150.3,16,5.358,1.0,South-West Monsoon Season
2000-07-03 11:00:00,845,845,40,970,25.52,16.14,1.0,170.5,16,5.284,1.0,South-West Monsoon Season
2000-07-03 12:00:00,877,877,41,970,24.39,8.43,0.8,205.4,16,5.167,1.0,South-West Monsoon Season
2000-07-03 13:00:00,851,851,42,970,23.55,15.38,0.8,236.7,16,5.03,1.0,South-West Monsoon Season
2000-07-03 14:00:00,767,767,42,970,23.12,27.46,0.9,253.2,16,4.902,1.0,South-West Monsoon Season
2000-07-03 15:00:00,612,633,41,970,23.49,40.2,0.9,260.1,16,4.782,0.966824645,South-West Monsoon Season
2000-07-03 16:00:00,438,463,40,970,24.89,52.99,0.8,257.4,15,4.688,0.94600432,South-West Monsoon Season
2000-07-03 17:00:00,254,274,38,970,27.2,65.61,0.6,237.5,15,4.624,0.927007299,South-West Monsoon Season
2000-07-03 18:00:00,85,93,36,970,30.68,77.9,0.8,187.4,16,4.604,0.913978495,South-West Monsoon Season
2000-07-04 06:00:00,69,81,32,970,46.54,78.77,1.3,178.0,19,4.992,0.851851852,South-West Monsoon Season
2000-07-04 07:00:00,235,260,35,970,39.62,66.51,1.3,208.6,19,4.97,0.903846154,South-West Monsoon Season
2000-07-04 08:00:00,424,448,37,970,36.78,53.91,1.3,223.0,19,4.93,0.946428571,South-West Monsoon Season
2000-07-04 09:00:00,529,621,39,970,33.63,41.13,1.4,234.3,19,4.966,0.851851852,South-West Monsoon Season
2000-07-04 10:00:00,758,758,40,970,31.76,28.39,1.6,244.6,19,5.009,1.0,South-West Monsoon Season
2000-07-04 11:00:00,846,846,40,970,30.46,16.22,1.9,252.0,19,5.049,1.0,South-West Monsoon Season
2000-07-04 12:00:00,752,878,41,970,28.89,8.52,2.1,255.5,19,5.075,0.856492027,South-West Monsoon Season
2000-07-04 13:00:00,850,850,41,970,27.73,15.4,2.1,258.1,18,5.071,1.0,South-West Monsoon Season
2000-07-04 14:00:00,732,766,41,970,26.18,27.46,2.0,260.1,17,5.046,0.955613577,South-West Monsoon Season
2000-07-04 15:00:00,597,632,41,970,25.52,40.2,1.9,261.5,17,4.966,0.944620253,South-West Monsoon Season
2000-07-04 16:00:00,379,462,40,970,25.96,52.98,1.7,261.6,16,4.903,0.82034632,South-West Monsoon Season
2000-07-04 17:00:00,205,274,39,970,27.42,65.61,1.5,254.6,16,4.854,0.748175182,South-West Monsoon Season
2000-07-04 18:00:00,71,93,37,970,30.33,77.9,1.7,232.5,16,4.813,0.76344086,South-West Monsoon Season
2000-07-05 06:00:00,66,80,33,970,37.02,78.85,1.4,288.9,16,4.894,0.825,South-West Monsoon Season
2000-07-05 07:00:00,238,259,36,970,30.45,66.59,2.0,288.1,16,4.834,0.918918919,South-West Monsoon Season
2000-07-05 08:00:00,424,448,40,970,24.51,53.98,2.2,288.8,15,4.768,0.946428571,South-West Monsoon Season
2000-07-05 09:00:00,600,621,43,970,21.14,41.21,2.2,286.0,15,4.753,0.966183575,South-West Monsoon Season
2000-07-05 10:00:00,744,759,44,970,19.05,28.46,2.3,283.3,15,4.715,0.980237154,South-West Monsoon Season
2000-07-05 11:00:00,795,849,46,970,17.65,16.31,2.4,283.0,15,4.656,0.93639576,South-West Monsoon Season
2000-07-05 12:00:00,784,882,46,970,16.79,8.62,2.7,283.7,15,4.572,0.888888889,South-West Monsoon Season
2000-07-05 13:00:00,845,855,47,970,16.59,15.42,3.0,286.0,15,4.463,0.988304094,South-West Monsoon Season
2000-07-05 14:00:00,754,771,46,970,16.71,27.46,3.3,290.8,14,4.341,0.977950713,South-West Monsoon Season
2000-07-05 15:00:00,613,638,45,970,17.25,40.19,3.6,293.8,14,4.177,0.960815047,South-West Monsoon Season
2000-07-05 16:00:00,438,467,44,970,18.27,52.98,3.7,293.9,14,4.04,0.937901499,South-West Monsoon Season
2000-07-05 17:00:00,245,277,42,970,19.81,65.61,3.8,291.7,14,3.962,0.884476534,South-West Monsoon Season
2000-07-05 18:00:00,74,94,41,970,22.0,77.92,3.6,284.9,14,3.963,0.787234043,South-West Monsoon Season
2000-07-06 06:00:00,59,80,35,970,31.41,78.94,2.5,296.1,15,4.694,0.7375,South-West Monsoon Season
2000-07-06 07:00:00,233,258,37,970,27.08,66.67,2.9,291.3,15,4.642,0.903100775,South-West Monsoon Season
2000-07-06 08:00:00,418,448,42,970,21.43,54.06,3.2,289.3,15,4.552,0.933035714,South-West Monsoon Season
2000-07-06 09:00:00,599,622,44,970,18.2,41.28,3.0,286.2,14,4.414,0.963022508,South-West Monsoon Season
2000-07-06 10:00:00,744,762,46,970,16.15,28.54,2.8,280.1,14,4.272,0.976377953,South-West Monsoon Season
2000-07-06 11:00:00,839,853,48,970,14.71,16.4,2.8,273.7,14,4.133,0.983587339,South-West Monsoon Season
2000-07-06 12:00:00,874,888,48,970,13.83,8.72,3.0,269.7,13,3.987,0.984234234,South-West Monsoon Season
2000-07-06 13:00:00,844,862,49,970,13.37,15.45,3.2,267.5,13,3.834,0.979118329,South-West Monsoon Season
2000-07-06 14:00:00,754,778,48,960,13.41,27.47,3.4,268.1,13,3.688,0.969151671,South-West Monsoon Season
2000-07-06 15:00:00,613,643,47,960,13.84,40.2,3.5,269.0,12,3.601,0.953343701,South-West Monsoon Season
2000-07-06 16:00:00,438,470,46,960,14.76,52.99,3.5,268.3,12,3.554,0.931914894,South-West Monsoon Season
2000-07-06 17:00:00,242,279,44,960,16.15,65.62,3.3,265.3,12,3.579,0.867383513,South-West Monsoon Season
2000-07-06 18:00:00,74,95,42,960,18.27,77.93,3.0,258.1,13,3.684,0.778947368,South-West Monsoon Season
2000-07-07 06:00:00,66,78,36,970,41.07,79.02,2.3,226.0,20,5.557,0.846153846,South-West Monsoon Season
2000-07-07 07:00:00,163,255,37,970,39.19,66.75,2.3,227.7,21,5.545,0.639215686,South-West Monsoon Season
2000-07-07 08:00:00,412,443,38,970,39.47,54.13,2.1,224.8,22,5.477,0.930022573,South-West Monsoon Season
2000-07-07 09:00:00,598,616,39,970,38.41,41.35,2.0,221.8,22,5.431,0.970779221,South-West Monsoon Season
2000-07-07 10:00:00,753,753,40,970,37.92,28.61,2.0,221.6,22,5.392,1.0,South-West Monsoon Season
2000-07-07 11:00:00,843,843,40,970,37.22,16.49,2.1,224.1,22,5.302,1.0,South-West Monsoon Season
2000-07-07 12:00:00,877,877,40,970,36.71,8.83,2.1,226.7,22,5.175,1.0,South-West Monsoon Season
2000-07-07 13:00:00,850,850,40,970,35.96,15.49,2.0,227.6,22,5.027,1.0,South-West Monsoon Season
