Date,GHI,Clearsky GHI,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed,Wind Direction,Dew Point,Precipitable Water,Clearness Index,Season
01-10-2000 07:00,133,150,26,980,15.71,76.36,2,139.4,-1,1.049,0.886666667,Post-Monsoon/Transition Period
01-10-2000 08:00,340,356,30,980,12.9,64.13,1.8,146.6,-1,1.075,0.95505618,Post-Monsoon/Transition Period
01-10-2000 09:00,527,545,34,980,10.51,52.76,1.4,158.7,-1,1.126,0.966972477,Post-Monsoon/Transition Period
01-10-2000 10:00,678,691,38,980,8.46,43.06,0.8,200.1,-1,1.167,0.981186686,Post-Monsoon/Transition Period
01-10-2000 11:00,769,779,40,980,6.68,36.46,1.1,267.6,-2,1.179,0.98716303,Post-Monsoon/Transition Period
01-10-2000 12:00,789,800,41,980,5.76,34.81,1.9,284,-4,1.15,0.98625,Post-Monsoon/Transition Period
01-10-2000 13:00,724,752,41,980,5.32,38.77,2.6,289.8,-5,1.087,0.962765957,Post-Monsoon/Transition Period
01-10-2000 14:00,620,639,41,980,5.32,46.91,3,288.3,-5,1.023,0.970266041,Post-Monsoon/Transition Period
01-10-2000 15:00,451,471,39,980,5.73,57.45,3.2,285.5,-5,1.007,0.957537155,Post-Monsoon/Transition Period
01-10-2000 16:00,242,269,37,980,6.61,69.26,3.2,284.8,-4,1.019,0.899628253,Post-Monsoon/Transition Period
01-10-2000 17:00,49,68,33,980,9.13,81.73,2.8,281,-3,1.053,0.720588235,Post-Monsoon/Transition Period
02-10-2000 07:00,131,144,27,980,18.28,76.51,1.2,314.8,1,1.585,0.909722222,Post-Monsoon/Transition Period
02-10-2000 08:00,336,346,31,980,13.53,64.3,0.8,309.1,0,1.576,0.971098266,Post-Monsoon/Transition Period
02-10-2000 09:00,525,533,36,980,10.84,52.98,1.7,306.4,0,1.589,0.984990619,Post-Monsoon/Transition Period
02-10-2000 10:00,674,678,39,980,9.23,43.34,2,298.3,0,1.593,0.994100295,Post-Monsoon/Transition Period
02-10-2000 11:00,764,765,41,980,8.25,36.81,2.2,291.8,0,1.587,0.99869281,Post-Monsoon/Transition Period
02-10-2000 12:00,785,785,41,980,7.68,35.21,2.5,289,0,1.576,1,Post-Monsoon/Transition Period
