Date,GHI,Clearsky GHI,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed,Wind Direction,Dew Point,Precipitable Water,Clearness Index,Season
01-04-2000 06:00,7,7,23,980,20.44,87.97,1.4,325.2,-1,0.943,1,Summer Season
01-04-2000 07:00,174,181,27,980,11.21,75.16,1.3,319.3,-6,0.924,0.961325967,Summer Season
01-04-2000 08:00,395,403,32,980,6.86,62.47,2,312.2,-8,0.904,0.980148883,Summer Season
01-04-2000 09:00,597,611,35,980,6.04,50.24,2.3,305.8,-7,0.888,0.977086743,Summer Season
01-04-2000 10:00,757,777,37,980,6.03,39.08,2.4,297.3,-6,0.867,0.974259974,Summer Season
01-04-2000 11:00,871,885,38,980,5.98,30.35,2.6,290.7,-6,0.851,0.984180791,Summer Season
01-04-2000 12:00,902,924,38,980,5.85,26.66,2.8,289.1,-5,0.839,0.976190476,Summer Season
01-04-2000 13:00,872,890,38,980,5.76,29.96,3.1,290.1,-6,0.827,0.979775281,Summer Season
01-04-2000 14:00,756,787,37,980,5.81,38.47,3.4,294.3,-6,0.813,0.960609911,Summer Season
01-04-2000 15:00,604,625,36,980,6.01,49.54,3.6,298.4,-7,0.79,0.9664,Summer Season
01-04-2000 16:00,405,419,34,980,6.33,61.72,3.9,301.6,-7,0.765,0.966587112,Summer Season
01-04-2000 17:00,175,196,32,980,7.19,74.38,3.8,303.2,-8,0.736,0.892857143,Summer Season
01-04-2000 18:00,4,13,28,980,8.81,87.18,4,304.3,-7,0.707,0.307692308,Summer Season
02-04-2000 06:00,9,9,20,980,18.55,87.71,2.6,320.5,-4,0.646,1,Summer Season
02-04-2000 07:00,179,188,24,980,14.08,74.9,2,318.1,-4,0.658,0.95212766,Summer Season
02-04-2000 08:00,400,413,29,980,10.58,62.2,2.2,310.9,-5,0.658,0.968523002,Summer Season
02-04-2000 09:00,602,623,33,980,7.85,49.95,2.8,305.7,-5,0.652,0.966292135,Summer Season
02-04-2000 10:00,766,790,35,980,6.43,38.75,3.1,298.6,-6,0.639,0.969620253,Summer Season
02-04-2000 11:00,870,899,37,980,5.61,29.97,3.2,293.1,-7,0.618,0.967741935,Summer Season
